task_name,layer,score
wh_vs_that_no_gap,12,0.875
passive_1,0,0.629
passive_1,1,0.641
passive_1,2,0.715
passive_1,3,0.651
passive_1,4,0.701
passive_1,5,0.775
passive_1,6,0.775
passive_1,7,0.741
passive_1,8,0.742
passive_1,9,0.786
passive_1,10,0.835
passive_1,11,0.849
passive_1,12,0.619
regular_plural_subject_verb_agreement_1,0,0.572
regular_plural_subject_verb_agreement_1,1,0.618
regular_plural_subject_verb_agreement_1,2,0.764
regular_plural_subject_verb_agreement_1,3,0.869
regular_plural_subject_verb_agreement_1,4,0.911
regular_plural_subject_verb_agreement_1,5,0.926
regular_plural_subject_verb_agreement_1,6,0.923
regular_plural_subject_verb_agreement_1,7,0.93
regular_plural_subject_verb_agreement_1,8,0.933
regular_plural_subject_verb_agreement_1,9,0.926
regular_plural_subject_verb_agreement_1,10,0.964
regular_plural_subject_verb_agreement_1,11,0.969
regular_plural_subject_verb_agreement_1,12,0.841
drop_argument,0,0.274
drop_argument,1,0.526
drop_argument,2,0.659
drop_argument,3,0.711
drop_argument,4,0.732
drop_argument,5,0.746
drop_argument,6,0.808
drop_argument,7,0.827
drop_argument,8,0.777
drop_argument,9,0.824
drop_argument,10,0.842
drop_argument,11,0.849
drop_argument,12,0.461
anaphor_gender_agreement,0,0.67
anaphor_gender_agreement,1,0.711
anaphor_gender_agreement,2,0.565
anaphor_gender_agreement,3,0.519
anaphor_gender_agreement,4,0.573
anaphor_gender_agreement,5,0.811
anaphor_gender_agreement,6,0.847
anaphor_gender_agreement,7,0.788
anaphor_gender_agreement,8,0.657
anaphor_gender_agreement,9,0.652
anaphor_gender_agreement,10,0.839
anaphor_gender_agreement,11,0.863
anaphor_gender_agreement,12,0.615
animate_subject_passive,0,0.654
animate_subject_passive,1,0.589
animate_subject_passive,2,0.567
animate_subject_passive,3,0.51
animate_subject_passive,4,0.626
animate_subject_passive,5,0.704
animate_subject_passive,6,0.674
animate_subject_passive,7,0.68
animate_subject_passive,8,0.579
animate_subject_passive,9,0.613
animate_subject_passive,10,0.783
animate_subject_passive,11,0.767
animate_subject_passive,12,0.536
transitive,0,0.682
transitive,1,0.643
transitive,2,0.641
transitive,3,0.678
transitive,4,0.716
transitive,5,0.765
transitive,6,0.792
transitive,7,0.774
transitive,8,0.728
transitive,9,0.792
transitive,10,0.859
transitive,11,0.911
transitive,12,0.735
determiner_noun_agreement_with_adjective_1,0,0.491
determiner_noun_agreement_with_adjective_1,1,0.512
determiner_noun_agreement_with_adjective_1,2,0.582
determiner_noun_agreement_with_adjective_1,3,0.68
determiner_noun_agreement_with_adjective_1,4,0.85
determiner_noun_agreement_with_adjective_1,5,0.844
determiner_noun_agreement_with_adjective_1,6,0.872
determiner_noun_agreement_with_adjective_1,7,0.93
determiner_noun_agreement_with_adjective_1,8,0.933
determiner_noun_agreement_with_adjective_1,9,0.961
determiner_noun_agreement_with_adjective_1,10,0.974
determiner_noun_agreement_with_adjective_1,11,0.972
determiner_noun_agreement_with_adjective_1,12,0.84
wh_questions_object_gap,0,1
wh_questions_object_gap,1,0.956
wh_questions_object_gap,2,0.732
wh_questions_object_gap,3,0.598
wh_questions_object_gap,4,0.626
wh_questions_object_gap,5,0.621
wh_questions_object_gap,6,0.721
wh_questions_object_gap,7,0.862
wh_questions_object_gap,8,0.929
wh_questions_object_gap,9,0.952
wh_questions_object_gap,10,0.96
wh_questions_object_gap,11,0.957
wh_questions_object_gap,12,0.772
wh_vs_that_with_gap,0,0
wh_vs_that_with_gap,1,0
wh_vs_that_with_gap,2,0.002
wh_vs_that_with_gap,3,0.026
wh_vs_that_with_gap,4,0.074
wh_vs_that_with_gap,5,0.173
wh_vs_that_with_gap,6,0.526
wh_vs_that_with_gap,7,0.688
wh_vs_that_with_gap,8,0.572
wh_vs_that_with_gap,9,0.599
wh_vs_that_with_gap,10,0.666
wh_vs_that_with_gap,11,0.697
wh_vs_that_with_gap,12,0.431
irregular_past_participle_verbs,0,0.76
irregular_past_participle_verbs,1,0.809
irregular_past_participle_verbs,2,0.752
irregular_past_participle_verbs,3,0.877
