type,task,layer,score
Commonsense,Warren et al.,5,-0.311375333
Commonsense,Warren et al.,6,-0.395620807
Commonsense,Warren et al.,7,-0.348586181
Commonsense,Warren et al.,8,-0.336005116
Commonsense,Warren et al.,9,-0.325191722
Commonsense,Warren et al.,10,-0.274574024
Commonsense,Warren et al.,11,-0.144239995
Commonsense,Warren et al.,12,-0.491684664
Commonsense,Federmeier and Kutas,0,-0.113440785
Commonsense,Federmeier and Kutas,1,0.076760278
Commonsense,Federmeier and Kutas,2,0.115928059
Commonsense,Federmeier and Kutas,3,0.107158779
Commonsense,Federmeier and Kutas,4,0.068875464
Commonsense,Federmeier and Kutas,5,0.142406326
Commonsense,Federmeier and Kutas,6,0.074641091
Commonsense,Federmeier and Kutas,7,0.081892503
Commonsense,Federmeier and Kutas,8,-0.007368602
Commonsense,Federmeier and Kutas,9,0.044194598
Commonsense,Federmeier and Kutas,10,0.06784171
Commonsense,Federmeier and Kutas,11,0.225417413
Commonsense,Federmeier and Kutas,12,-0.092886657
Commonsense,Chow et al.,0,0
Commonsense,Chow et al.,1,-0.268082961
Commonsense,Chow et al.,2,-0.034748728
Commonsense,Chow et al.,3,0.03159799
Commonsense,Chow et al.,4,-0.020573581
Commonsense,Chow et al.,5,0.316726426
Commonsense,Chow et al.,6,0.25570256
Commonsense,Chow et al.,7,0.255381505
Commonsense,Chow et al.,8,0.390229901
Commonsense,Chow et al.,9,0.469266884
Commonsense,Chow et al.,10,0.265036755
Commonsense,Chow et al.,11,0.263321591
Commonsense,Chow et al.,12,0.351150482
Commonsense,Urbach and Kutas,0,-0.006803829
Commonsense,Urbach and Kutas,1,0.035827012
Commonsense,Urbach and Kutas,2,0.081192863
Commonsense,Urbach and Kutas,3,0.040752598
Commonsense,Urbach and Kutas,4,0.078680369
Commonsense,Urbach and Kutas,5,0.061826124
Commonsense,Urbach and Kutas,6,0.032356238
Commonsense,Urbach and Kutas,7,0.03583083
Commonsense,Urbach and Kutas,8,0.002931665
Commonsense,Urbach and Kutas,9,0.024662525
Commonsense,Urbach and Kutas,10,0.012089564
Commonsense,Urbach and Kutas,11,-0.037184294
Commonsense,Urbach and Kutas,12,0.050104722
