task,layer,score
Pragmatic - Warren et al.,6,-0.186141344
Pragmatic - Warren et al.,7,-0.122287881
Pragmatic - Warren et al.,8,-0.086060538
Pragmatic - Warren et al.,9,-0.158750497
Pragmatic - Warren et al.,10,-0.017412619
Pragmatic - Warren et al.,11,0.05117337
Pragmatic - Warren et al.,12,0.415958363
Pragmatic - Federmeier and Kutas,0,0.060704884
Pragmatic - Federmeier and Kutas,1,-0.09436378
Pragmatic - Federmeier and Kutas,2,-0.124407637
Pragmatic - Federmeier and Kutas,3,0.017251222
Pragmatic - Federmeier and Kutas,4,0.158495861
Pragmatic - Federmeier and Kutas,5,0.123068452
Pragmatic - Federmeier and Kutas,6,0.158998549
Pragmatic - Federmeier and Kutas,7,0.214396379
Pragmatic - Federmeier and Kutas,8,0.148035976
Pragmatic - Federmeier and Kutas,9,0.277783851
Pragmatic - Federmeier and Kutas,10,0.244584434
Pragmatic - Federmeier and Kutas,11,0.260860292
Pragmatic - Federmeier and Kutas,12,-0.204310348
Pragmatic - Chow et al.,0,-0.019797226
Pragmatic - Chow et al.,1,0.166832169
Pragmatic - Chow et al.,2,-0.114277536
Pragmatic - Chow et al.,3,0.090671792
Pragmatic - Chow et al.,4,0.089230605
Pragmatic - Chow et al.,5,0.102005434
Pragmatic - Chow et al.,6,0.077064111
Pragmatic - Chow et al.,7,0.002573532
Pragmatic - Chow et al.,8,-0.124484923
Pragmatic - Chow et al.,9,-0.114208345
Pragmatic - Chow et al.,10,-0.040711789
Pragmatic - Chow et al.,11,-0.054050052
Pragmatic - Chow et al.,12,-0.223957486
Pragmatic - Urbach and Kutas,0,0.013534077
Pragmatic - Urbach and Kutas,1,-0.146491503
Pragmatic - Urbach and Kutas,2,-0.117375035
Pragmatic - Urbach and Kutas,3,-0.151838478
Pragmatic - Urbach and Kutas,4,-0.15760324
Pragmatic - Urbach and Kutas,5,-0.11541543
Pragmatic - Urbach and Kutas,6,-0.052347094
Pragmatic - Urbach and Kutas,7,-0.015261667
Pragmatic - Urbach and Kutas,8,-0.101131296
Pragmatic - Urbach and Kutas,9,-0.01729318
Pragmatic - Urbach and Kutas,10,-0.041874039
Pragmatic - Urbach and Kutas,11,0.070938332
Pragmatic - Urbach and Kutas,12,-0.142713276
